epoch 154, seq 500/500, tr loss 0.051886 te loss 0.049527 lr: 0.000858 
epoch 156, seq 500/500, tr loss 0.051649 te loss 0.049367 lr: 0.000856 
epoch 158, seq 500/500, tr loss 0.051424 te loss 0.049214 lr: 0.000855 
epoch 160, seq 500/500, tr loss 0.051209 te loss 0.049069 lr: 0.000853 
epoch 162, seq 500/500, tr loss 0.051004 te loss 0.048930 lr: 0.000851 
epoch 164, seq 500/500, tr loss 0.050808 te loss 0.048796 lr: 0.000850 
epoch 166, seq 500/500, tr loss 0.050618 te loss 0.048668 lr: 0.000848 
epoch 168, seq 500/500, tr loss 0.050436 te loss 0.048543 lr: 0.000846 
epoch 170, seq 500/500, tr loss 0.050260 te loss 0.048422 lr: 0.000844 
epoch 172, seq 500/500, tr loss 0.050088 te loss 0.048304 lr: 0.000843 
epoch 174, seq 500/500, tr loss 0.049922 te loss 0.048189 lr: 0.000841 
epoch 176, seq 500/500, tr loss 0.049760 te loss 0.048076 lr: 0.000839 
epoch 178, seq 500/500, tr loss 0.049603 te loss 0.047966 lr: 0.000838 
epoch 180, seq 500/500, tr loss 0.049448 te loss 0.047858 lr: 0.000836 
epoch 182, seq 500/500, tr loss 0.049298 te loss 0.047751 lr: 0.000834 
epoch 184, seq 500/500, tr loss 0.049151 te loss 0.047647 lr: 0.000833 
epoch 186, seq 500/500, tr loss 0.049007 te loss 0.047545 lr: 0.000831 
epoch 188, seq 500/500, tr loss 0.048866 te loss 0.047444 lr: 0.000829 
epoch 190, seq 500/500, tr loss 0.048728 te loss 0.047346 lr: 0.000828 
epoch 192, seq 500/500, tr loss 0.048593 te loss 0.047250 lr: 0.000826 
epoch 194, seq 500/500, tr loss 0.048460 te loss 0.047157 lr: 0.000824 
epoch 196, seq 500/500, tr loss 0.048330 te loss 0.047065 lr: 0.000823 
epoch 198, seq 500/500, tr loss 0.048203 te loss 0.046976 lr: 0.000821 
epoch 200, seq 500/500, tr loss 0.048077 te loss 0.046888 lr: 0.000819 
epoch 202, seq 500/500, tr loss 0.047954 te loss 0.046804 lr: 0.000818 
epoch 204, seq 500/500, tr loss 0.047833 te loss 0.046721 lr: 0.000816 
epoch 206, seq 500/500, tr loss 0.047714 te loss 0.046640 lr: 0.000815 
epoch 208, seq 500/500, tr loss 0.047597 te loss 0.046561 lr: 0.000813 
epoch 210, seq 500/500, tr loss 0.047481 te loss 0.046484 lr: 0.000811 
epoch 212, seq 500/500, tr loss 0.047367 te loss 0.046409 lr: 0.000810 
epoch 214, seq 500/500, tr loss 0.047253 te loss 0.046335 lr: 0.000808 
epoch 216, seq 500/500, tr loss 0.047141 te loss 0.046263 lr: 0.000806 
epoch 218, seq 500/500, tr loss 0.047029 te loss 0.046192 lr: 0.000805 
epoch 220, seq 500/500, tr loss 0.046918 te loss 0.046122 lr: 0.000803 
epoch 222, seq 500/500, tr loss 0.046808 te loss 0.046052 lr: 0.000802 
