epoch 257, seq 200/300, tr loss 0.181611 te loss 0.200879 lr: 0.000774 
epoch 260, seq 300/300, tr loss 0.180880 te loss 0.199989 lr: 0.000772 
epoch 264, seq 100/300, tr loss 0.180143 te loss 0.199191 lr: 0.000769 
epoch 267, seq 200/300, tr loss 0.179393 te loss 0.198301 lr: 0.000766 
epoch 270, seq 300/300, tr loss 0.178630 te loss 0.197378 lr: 0.000764 
epoch 274, seq 100/300, tr loss 0.177861 te loss 0.196549 lr: 0.000761 
epoch 277, seq 200/300, tr loss 0.177080 te loss 0.195627 lr: 0.000759 
epoch 280, seq 300/300, tr loss 0.176285 te loss 0.194671 lr: 0.000756 
epoch 284, seq 100/300, tr loss 0.175486 te loss 0.193810 lr: 0.000753 
epoch 287, seq 200/300, tr loss 0.174675 te loss 0.192854 lr: 0.000751 
epoch 290, seq 300/300, tr loss 0.173849 te loss 0.191863 lr: 0.000749 
epoch 294, seq 100/300, tr loss 0.173020 te loss 0.190966 lr: 0.000746 
epoch 297, seq 200/300, tr loss 0.172177 te loss 0.189973 lr: 0.000744 
epoch 300, seq 300/300, tr loss 0.171319 te loss 0.188941 lr: 0.000741 
epoch 304, seq 100/300, tr loss 0.170457 te loss 0.188001 lr: 0.000738 
epoch 307, seq 200/300, tr loss 0.169581 te loss 0.186963 lr: 0.000736 
epoch 310, seq 300/300, tr loss 0.168688 te loss 0.185883 lr: 0.000734 
epoch 314, seq 100/300, tr loss 0.167793 te loss 0.184896 lr: 0.000731 
epoch 317, seq 200/300, tr loss 0.166886 te loss 0.183811 lr: 0.000729 
epoch 320, seq 300/300, tr loss 0.165962 te loss 0.182683 lr: 0.000727 
epoch 324, seq 100/300, tr loss 0.165042 te loss 0.181655 lr: 0.000724 
epoch 327, seq 200/300, tr loss 0.164115 te loss 0.180534 lr: 0.000722 
epoch 330, seq 300/300, tr loss 0.163175 te loss 0.179376 lr: 0.000720 
epoch 334, seq 100/300, tr loss 0.162250 te loss 0.178327 lr: 0.000717 
epoch 337, seq 200/300, tr loss 0.161323 te loss 0.177194 lr: 0.000715 
epoch 340, seq 300/300, tr loss 0.160391 te loss 0.176033 lr: 0.000712 
epoch 344, seq 100/300, tr loss 0.159481 te loss 0.174990 lr: 0.000710 
epoch 347, seq 200/300, tr loss 0.158575 te loss 0.173871 lr: 0.000707 
epoch 350, seq 300/300, tr loss 0.157667 te loss 0.172729 lr: 0.000705 
epoch 354, seq 100/300, tr loss 0.156786 te loss 0.171714 lr: 0.000702 
