epoch 257, seq 200/300, tr loss 0.010431 te loss 0.015459 lr: 0.000774 
epoch 260, seq 300/300, tr loss 0.010303 te loss 0.015343 lr: 0.000772 
epoch 264, seq 100/300, tr loss 0.010175 te loss 0.015298 lr: 0.000769 
epoch 267, seq 200/300, tr loss 0.010052 te loss 0.015206 lr: 0.000766 
epoch 270, seq 300/300, tr loss 0.009933 te loss 0.015078 lr: 0.000764 
epoch 274, seq 100/300, tr loss 0.009814 te loss 0.015052 lr: 0.000761 
epoch 277, seq 200/300, tr loss 0.009700 te loss 0.014972 lr: 0.000759 
epoch 280, seq 300/300, tr loss 0.009589 te loss 0.014830 lr: 0.000756 
epoch 284, seq 100/300, tr loss 0.009477 te loss 0.014821 lr: 0.000753 
epoch 287, seq 200/300, tr loss 0.009371 te loss 0.014754 lr: 0.000751 
epoch 290, seq 300/300, tr loss 0.009268 te loss 0.014594 lr: 0.000749 
epoch 294, seq 100/300, tr loss 0.009163 te loss 0.014603 lr: 0.000746 
epoch 297, seq 200/300, tr loss 0.009064 te loss 0.014547 lr: 0.000744 
epoch 300, seq 300/300, tr loss 0.008967 te loss 0.014368 lr: 0.000741 
epoch 304, seq 100/300, tr loss 0.008868 te loss 0.014396 lr: 0.000738 
epoch 307, seq 200/300, tr loss 0.008776 te loss 0.014350 lr: 0.000736 
epoch 310, seq 300/300, tr loss 0.008685 te loss 0.014151 lr: 0.000734 
epoch 314, seq 100/300, tr loss 0.008590 te loss 0.014198 lr: 0.000731 
epoch 317, seq 200/300, tr loss 0.008505 te loss 0.014161 lr: 0.000729 
epoch 320, seq 300/300, tr loss 0.008419 te loss 0.013942 lr: 0.000727 
epoch 324, seq 100/300, tr loss 0.008329 te loss 0.014008 lr: 0.000724 
epoch 327, seq 200/300, tr loss 0.008249 te loss 0.013978 lr: 0.000722 
epoch 330, seq 300/300, tr loss 0.008168 te loss 0.013738 lr: 0.000720 
epoch 334, seq 100/300, tr loss 0.008082 te loss 0.013824 lr: 0.000717 
epoch 337, seq 200/300, tr loss 0.008008 te loss 0.013799 lr: 0.000715 
epoch 340, seq 300/300, tr loss 0.007932 te loss 0.013541 lr: 0.000712 
epoch 344, seq 100/300, tr loss 0.007849 te loss 0.013645 lr: 0.000710 
epoch 347, seq 200/300, tr loss 0.007780 te loss 0.013624 lr: 0.000707 
epoch 350, seq 300/300, tr loss 0.007709 te loss 0.013349 lr: 0.000705 
epoch 354, seq 100/300, tr loss 0.007629 te loss 0.013472 lr: 0.000702 
epoch 357, seq 200/300, tr loss 0.007564 te loss 0.013453 lr: 0.000700 
epoch 360, seq 300/300, tr loss 0.007498 te loss 0.013163 lr: 0.000698 
epoch 364, seq 100/300, tr loss 0.007422 te loss 0.013303 lr: 0.000695 
epoch 367, seq 200/300, tr loss 0.007361 te loss 0.013285 lr: 0.000693 
epoch 370, seq 300/300, tr loss 0.007299 te loss 0.012982 lr: 0.000691 
epoch 374, seq 100/300, tr loss 0.007226 te loss 0.013138 lr: 0.000689 
epoch 377, seq 200/300, tr loss 0.007169 te loss 0.013120 lr: 0.000686 
epoch 380, seq 300/300, tr loss 0.007111 te loss 0.012807 lr: 0.000684 
epoch 384, seq 100/300, tr loss 0.007041 te loss 0.012978 lr: 0.000682 
epoch 387, seq 200/300, tr loss 0.006987 te loss 0.012960 lr: 0.000680 
epoch 390, seq 300/300, tr loss 0.006934 te loss 0.012638 lr: 0.000678 
epoch 394, seq 100/300, tr loss 0.006867 te loss 0.012823 lr: 0.000675 
epoch 397, seq 200/300, tr loss 0.006816 te loss 0.012803 lr: 0.000673 
epoch 400, seq 300/300, tr loss 0.006767 te loss 0.012476 lr: 0.000671 
epoch 404, seq 100/300, tr loss 0.006702 te loss 0.012672 lr: 0.000668 
epoch 407, seq 200/300, tr loss 0.006654 te loss 0.012651 lr: 0.000666 
epoch 410, seq 300/300, tr loss 0.006609 te loss 0.012320 lr: 0.000664 
epoch 414, seq 100/300, tr loss 0.006547 te loss 0.012526 lr: 0.000662 
epoch 417, seq 200/300, tr loss 0.006502 te loss 0.012504 lr: 0.000660 
epoch 420, seq 300/300, tr loss 0.006460 te loss 0.012171 lr: 0.000658 
epoch 424, seq 100/300, tr loss 0.006400 te loss 0.012386 lr: 0.000655 
epoch 427, seq 200/300, tr loss 0.006358 te loss 0.012363 lr: 0.000653 
epoch 430, seq 300/300, tr loss 0.006319 te loss 0.012029 lr: 0.000651 
epoch 434, seq 100/300, tr loss 0.006262 te loss 0.012250 lr: 0.000648 
epoch 437, seq 200/300, tr loss 0.006222 te loss 0.012227 lr: 0.000646 
epoch 440, seq 300/300, tr loss 0.006186 te loss 0.011894 lr: 0.000645 
epoch 444, seq 100/300, tr loss 0.006131 te loss 0.012121 lr: 0.000642 
epoch 447, seq 200/300, tr loss 0.006093 te loss 0.012098 lr: 0.000640 
epoch 450, seq 300/300, tr loss 0.006060 te loss 0.011767 lr: 0.000638 
epoch 454, seq 100/300, tr loss 0.006007 te loss 0.011998 lr: 0.000636 
epoch 457, seq 200/300, tr loss 0.005971 te loss 0.011976 lr: 0.000634 
epoch 460, seq 300/300, tr loss 0.005941 te loss 0.011647 lr: 0.000632 
epoch 464, seq 100/300, tr loss 0.005890 te loss 0.011881 lr: 0.000629 
epoch 467, seq 200/300, tr loss 0.005856 te loss 0.011860 lr: 0.000627 
epoch 470, seq 300/300, tr loss 0.005828 te loss 0.011534 lr: 0.000625 
epoch 474, seq 100/300, tr loss 0.005779 te loss 0.011770 lr: 0.000623 
